Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Bob ingin berada di drama sekolah.,Dia mempelajari bagian itu dengan cermat.,Dia sering melatih dialognya.,"Pada hari audisi, dia melakukan pekerjaan dengan baik.",Bob sangat bangga.,Bob sangat malu.
Keluarga Smith tidak dapat menemukan kucing mereka.,Mereka takut dia keluar dan tersesat.,Semua orang sedih saat duduk di depan pohon Natal.,Kemudian mereka melihat dia menatap mereka dari cabang atas.,"Keluarga Smith bersorak, dan bergegas memeluk kucing mereka.",Kucing Smith mengeong di pintu depan.
Gina dan teman-temannya berada di luar perpustakaan sekolah.,Mereka ingin masuk ke dalam.,Tapi pustakawan itu tidak ada di perpustakaan.,Gadis-gadis itu tidak yakin di mana dia bisa berada.,Mereka memutuskan untuk menunggunya.,Gina membenci perpustakaan itu.
John sudah memiliki sepeda sejak dia berusia 14 tahun.,John sekarang berusia awal 40-an.,"Putra John, Carl, baru saja berusia sepuluh tahun.",Carl menunjukkan minat pada sepeda ayahnya di garasi.,Carl memutuskan untuk memberikan sepeda itu kepada putranya.,Carl memutuskan untuk membuang sepeda tua itu.
Maggie ingin mengecat kamarnya.,Dia ingin memiliki kamar merah muda.,Dia meminta ibunya untuk membeli catnya.,Keesokan harinya Maggie mengecat kamarnya.,Maggie menyukai warna pink.,Maggie benci warna merah jambu.
Cornelia memutuskan bahwa dia ingin mengatur ulang apartemennya.,Tempat tidurnya telah berdiri di samping dinding selama bertahun-tahun.,Cornelia memindahkan tempat tidurnya untuk duduk di samping jendela.,"Ketika teman-temannya melihat pengaturan barunya, mereka menyukainya.",Segera semua temannya mengatur tempat tidur mereka dengan cara yang sama.,Cornelia kemudian memindahkan tempat tidurnya kembali ke tempatnya semula.
Joe punya seorang akuntan.,Dia tidak pernah memperhatikan akuntannya.,Sampai suatu hari dia sadar dia tidak punya uang.,Joe dengan marah menyerbu ke kantor akuntan.,Joe bertanya kepada akuntan apa yang terjadi.,Joe pergi lari ke pantai.
Band oompah dan mariachi bertemu di jalan.,Mereka memutuskan untuk mengadakan jam session dadakan.,Mereka segera menemukan bahwa gaya mereka tidak cocok.,Penduduk terdekat menelepon polisi untuk mengeluhkan kebisingan tersebut.,Polisi menyuruh mereka berhenti bermain bersama.,Polisi menyuruh mereka terus bermain.
Mary harus mencabut gigi.,Dia ingin dokter gigi menidurkannya.,Yang bisa dia lakukan hanyalah membuat area itu mati rasa dengan Novocaine.,Mary menatapnya dengan ngeri.,"Setelah melihat ekspresinya, dokter gigi itu bisa membantu Mary.",Mary meninggalkan dokter gigi dengan perasaan senang.
Julie senang membaca apa pun yang bisa dia dapatkan.,Sebagian besar waktunya dihabiskan di perpustakaan.,Perpustakaan favoritnya dikelola oleh Nona Watson.,Nona Watson melihat kecintaan Julie pada buku dan menawarinya pekerjaan.,Julie dengan senang hati menerimanya!,Julie meninju mata temannya.
Jane ingin belajar cara menyulap.,Jane berkonsultasi dengan pemain sulap profesional untuk mengajarinya.,Jane mengikuti tiga kelas dengan pemain sulap profesional.,"Setelah tiga minggu, Jane melakukan juggling.",Jane memiliki bakat alami.,Jane tidak berbakat.
Tom senang karena dia tidak lagi bahagia dengan pekerjaannya.,Tom memutuskan bahwa sudah waktunya untuk mencari pekerjaan baru.,Tom melihat-lihat iklan yang diinginkan dan memasukkan aplikasi.,Tom melakukan wawancara kerja dan berbicara dengan banyak orang.,Dia akhirnya menerima tawaran pekerjaan.,Tom sedih karena harus meninggalkan pekerjaannya yang menyedihkan.
Sharon telah menyimpan sekantong benih yang tidak diketahui selama Bertahun-tahun.,Dia memutuskan suatu hari untuk menanam benih.,"Sharon menaruhnya di pekebun, karena yakin itu tanaman kecil.",Sharon sangat salah dalam asumsinya!,Mereka akhirnya menjadi tanaman besar.,Dia membuka bir dan meneguknya.
"Setiap hari, saya mengomeli putri saya untuk mengerjakan pekerjaan rumahnya.",Saya akhirnya memutuskan bahwa itu adalah tanggung jawabnya sendiri.,"Benar saja, dia tidak melakukannya pada suatu malam.","Aku tetap mengirimnya ke tempat tidur, tahu dia akan mendapat masalah di sekolah.",Dia akhirnya mendapat nilai buruk pada tugasnya.,Dia bermain basket dengan teman-temannya sepanjang sore.
Mark menjalani wawancara besar untuk pekerjaan baru.,Dia mempersiapkan diri untuk pertanyaan yang mungkin mereka ajukan.,Pewawancara tampaknya terkesan dengan jawaban Mark.,Pewawancara memberi tahu Mark bahwa dia mendapatkan pekerjaan itu.,Mark sangat senang.,Mark sangat marah dan diserbu keluar.
Izzy adalah seorang dokter.,Dia terlalu terlibat dengan pasiennya.,"Suatu hari, dia jatuh cinta dengan pasiennya, Denny.",Denny meninggal karena aneurisma.,Izzy patah hati.,Izzy senang.
Cindy telah mengemudi selama beberapa bulan.,Tapi dia tidak pernah mengemudi di tengah hujan.,Dia harus pergi ke sekolah pada hari hujan.,Tapi dia terlalu takut.,Cindy meminta ibunya untuk mengantarnya.,Cindy sangat berpengalaman.
Saya baru-baru ini pergi ke kebun binatang dengan teman-teman saya.,Kami bertemu di sana dan masuk bersama.,"Kami melihat banyak sekali binatang, seperti jerapah, monyet, dan gajah.",Kami bahkan bisa memberi makan jerapah.,"Usai perjalanan, kami pulang dengan sangat bahagia.",Kami kemudian meninggalkan pasar dan pulang.
Paul merasa berani jadi dia mencoba bergabung dengan Angkatan Darat.,Tentara mengatakan dia terlalu lemah untuk bergabung.,Paul tidak terpengaruh jadi dia kemudian mencoba bergabung dengan Angkatan Laut.,Angkatan Laut menolaknya karena Paul tidak bisa berenang.,Paul sangat frustasi.,Paul sangat senang dengan hasilnya.
Jeff adalah pemikir yang sangat cepat.,Dia bisa keluar dari situasi apa pun yang tidak dia inginkan.,Yang harus dia lakukan adalah mencari alasan di tempat untuk pergi.,Dia sering menggunakan ini ketika dia tidak ingin berbicara dengan mertuanya lagi.,Jeff benci menghabiskan waktu dengan mertuanya.,Jeff senang mengunjungi mertuanya.
Saya mengambil senam sebagai seorang anak.,Saya sedang mempelajari balok keseimbangan dan melakukan gerakan di atasnya.,"Saat saya melakukan putaran off membalik balok, saya mendarat salah.",Saya mematahkan pergelangan kaki saya dan sangat kesakitan!,Saya dilarikan ke rumah sakit.,Saya bangkit dan kembali ke balok keseimbangan.
Steph biasanya makan sarapan besar.,Tetapi pekerjaan barunya berarti dia memiliki lebih sedikit waktu untuk membuat makanan.,Jadi Steph memutuskan untuk makan makanan yang lebih sederhana dan porsi yang lebih kecil.,"Dan dalam sebulan, beratnya turun 10 pon.",Dokternya mengatakan dia juga lebih sehat.,Dia merasa seperti orang yang gagal total.
Seekor katak lapar untuk makan malam.,Dia melihat ke seberang kolam dan melihat seekor lalat.,Katak itu berenang mendekati lalat dengan tenang.,"Sayangnya, lalat itu melihatnya datang dan terbang menjauh.",Katak itu masih lapar.,Katak tidak pernah memiliki perut yang kenyang sepanjang hidupnya.
Kakak ipar saya mencoba untuk menghemat uang.,Dia adalah seorang janda yang baru saja tinggal dengan pensiun.,Dia baru saja mengembalikan dua dari tiga kotak kabel.,Saya mengatakan kepadanya bahwa antena berfungsi dengan baik sekarang karena siarannya HD.,Dia senang mendengarnya.,Dia membeli lebih banyak kotak kabel.
Tyler ingin mengadakan pesta balon dengan berton-ton balon.,Dia dan teman-temannya dan orang tuanya meledakkan balon.,Dia dan teman-temannya bermain dengan balon dan bersenang-senang.,Mereka lelah dan menonton film dan makan malam.,Hari itu sangat menyenangkan.,Tyler merasa orang tuanya tidak pernah membiarkan dia melakukan apa pun.
"Kemarin, ibu mertua saya menelepon, dan ingin pergi ke suatu toko.","Dia menjemputku jam 4:30, dan kami berangkat.",Kami pergi ke satu toko demi toko mencari penawaran bagus.,Sama sekali tidak ada toko yang memiliki barang bagus untuk dibeli.,Kami pulang tanpa membeli apapun.,Kami membawa pulang enam tas barang.
Sekolah hanyalah bencana hari ini.,Saat itu hujan dan semua orang basah kuyup karena hujan.,Ada juga kebakaran dan semua orang harus mengungsi dari sekolah.,Saya demam karena kehujanan selama beberapa menit.,Aku tidak pernah mengalami hari yang lebih buruk.,Saya pergi berenang di danau.
Ted dan Beth sedang merencanakan pernikahan bersama.,Mereka memperhatikan bahwa mereka mungkin tidak memiliki cukup uang untuk membayarnya.,Ted meminta orang tuanya untuk membantu membayar dan mereka setuju.,Beth melakukan hal yang sama kepada orang tuanya dan mendapat uang tambahan juga.,Orang tua mereka menyayangi mereka.,Mereka menghabiskan uang untuk permen.
Brad pergi ke pantai.,Dia membuat istana pasir.,Dia melompat ke perairan laut.,Dia berenang dengan ikan kecil.,Brad kemudian pulang setelah hari yang menyenangkan.,Hari-hari Brad berjalan sangat buruk.
John sangat senang bisa wawancara kerja.,Dia pergi ke wawancara dengan sangat siap dan berpakaian bagus.,Selama wawancara dia sangat banyak bicara dan menyenangkan.,Manajer perusahaan sangat terkesan dengan komentar John.,Manajer memutuskan untuk menawarkan pekerjaan kepada John.,John berkomentar tentang betapa buruknya menjalankan menurutnya tempat itu.
Priya memutuskan untuk mencoba restoran baru.,Dia pergi ke kafe baru yang dibuka.,Priya duduk di sebuah bilik.,Dia memesan mimosa dan sarapan burrito.,Priya mengira makanannya enak.,Priya memutuskan untuk tidak makan dan pergi.
Hester selalu menyukai tampilan rambutnya yang lurus.,Suatu hari dia diundang untuk menghadiri pembukaan galeri seni.,Dia memutuskan untuk meluruskan rambutnya untuk acara tersebut.,Semua teman-temannya memujinya karena penampilannya yang bagus.,Hester bangga dengan penampilannya.,Hester mencukur kepalanya.
Zack dan teman-temannya melewati sebuah rumah yang menakutkan dalam perjalanan mereka ke sekolah.,"Suatu hari, mereka memutuskan untuk masuk ke dalamnya.",Zack dan teman-temannya masuk ke dalam setiap kamar.,Rumah itu sudah tua dan ditinggalkan.,Mereka pergi dan pergi ke sekolah.,Mereka memutuskan untuk bermain bisbol di sana.
Amy terlambat untuk penerbangannya.,Dia bergegas melewati keamanan bandara.,Dia bisa mendengar namanya melalui pengeras suara di dekat gerbangnya.,Dia berlari dengan kecepatan tinggi dan menyapa pramugari yang kesal.,Dia naik pesawatnya tepat pada waktunya.,Amy kemudian keluar dari pesawat dan pulang ke rumah.
Ali pergi ke tempat makanan cepat saji dan membayar dengan kartu kreditnya.,Kasir butuh waktu lama untuk membawa kembali kartunya.,"Beberapa hari kemudian, Ali menemukan transaksi yang tidak biasa di kartunya.","Dia menelepon banknya, yang membalikkan dakwaan.",Dia bertanya-tanya apakah kasir telah mencuri informasinya.,Dia memastikan untuk berterima kasih kepada kasir makanan cepat saji.
Beberapa teman dan saya membuat tim Counter-Strike.,Kami banyak berlatih untuk turnamen yang akan datang.,Kami mengikuti turnamen dan membahas strategi.,Kami memainkan 6 pertandingan yang sulit.,Kami merasa senang dengan penampilan kami.,Kami merasa kinerja kami buruk.
Rachel sangat menginginkan riasan baru.,"Namun, dia kekurangan uang untuk membeli beberapa.",Dia pergi ke toko dan menyelipkan eyeliner ke tasnya.,Dia keluar dari toko tanpa ada yang menangkapnya.,Rachel pulang dan memakai eyeliner.,Rachel melemparkan eyeliner ke tempat sampah.
Rufus memperhatikan bahwa dia membiarkan kukunya tumbuh terlalu panjang.,Mereka membuat suara ketukan yang keras saat dia mengetik di komputernya.,Rufus memutuskan untuk memotong kukunya suatu malam.,"Saat dia akhirnya selesai, dia merasa lega.",Kukunya jauh lebih pendek.,Kukunya terlalu panjang.
Saya menjadi penggemar Law and Order pada tahun 2011.,Saya sedang dalam pemulihan dari stroke.,"Ketika saya sampai di rumah, saya mencoba menonton setiap episode.",Sulit mencoba untuk pesta menonton pertunjukan 20 Tahun.,Akhirnya saya menyaksikan semuanya.,Saya pikir Law and Order adalah salah satu pertunjukan terburuk yang pernah dibuat.
Kakak Amy mengajaknya ke pantai untuk berselancar di liburannya.,Amy buru-buru memakai pakaian selamnya.,Instrukturnya sabar ketika Amy tidak bisa memahaminya.,Akhirnya tiba waktunya bagi Amy untuk mencobanya sendiri.,Amy terkejut karena dia melakukannya dengan baik.,Amy memutuskan untuk pergi berenang.
Ray pergi ke rumah seorang teman untuk menginap.,Dia menyadari bahwa dia lupa sikat giginya.,Dia tidak bisa menyikat giginya!,"Ray mencoba menggunakan pasta gigi di jarinya, tetapi tidak ada gunanya.","Akhirnya, Ray bertanya kepada temannya apakah dia punya sikat gigi cadangan.",Ray menyikat giginya dengan baik.
Ben adalah pelatih tim bola basket dan dia mengadakan uji coba hari ini.,Dia harus memotong anak yang satu ini karena dia tidak cukup baik.,Dia merasa tidak enak karena dia tahu anak itu akan kecewa.,Dia memberi anak itu nasihat dan hal-hal yang harus dikerjakan untuk musim depan.,Anak itu berlatih sepanjang tahun dan tahun depan dia masuk tim.,Anak itu sangat bangga pada dirinya sendiri.
Robbie ingin membeli topi baru.,Dia mengemudi satu jam hanya untuk mendapatkan topi baru yang dia inginkan.,Akhirnya sesampainya di sana dia mendapatkan yang terakhir.,"Ketika dia mencobanya, itu sangat pas.",Dia memakainya setiap hari.,Dia membuangnya ke tempat sampah.
Ayah saya dan saya sedang membuat ruang untuk tanaman di halaman belakang.,Kami menggali selama beberapa menit mencoba memberi ruang.,Saya menemukan sebuah kotak yang terkubur di dalam tanah.,"Ketika saya melihat ke dalam, ada seekor binatang yang mati.",Saya mengembalikan kotak itu dan menemukan tempat lain untuk digali.,Saya sangat senang.
Seekor tupai sedang mengunjungi halaman belakang Joe.,Ia akan menjauh beberapa meter dari Joe lalu bergegas pergi.,Joe berusaha mengambil kacang dari tangannya.,Suatu hari tupai akhirnya melakukannya.,Joe senang.,Joe sangat frustasi.
Glen sedang ingin jalan-jalan.,Dia memakai jaketnya dan pergi keluar.,"Saat berjalan di trotoar, dia tersandung dan lututnya terbuka.",Glen berdiri kembali dan tertatih-tatih kembali ke rumahnya.,Glen bersumpah dia tidak akan pernah bisa berjalan lagi.,Glen menjalankan waktu maraton terbaiknya.
Peter telah menggunakan kursi yang sama selama Bertahun-tahun.,Itu menjadi usang.,Dia memutuskan untuk membeli kursi baru yang lebih nyaman.,"Ketika itu tiba, Peter sangat bahagia.",Peter berpikir itu mungkin lebih nyaman daripada yang lama.,Peter membiarkan anjingnya menggunakan kursinya sendiri.
Ana adalah seorang ibu yang pekerja keras.,Suatu hari dia memesan tempat untuk dirinya sendiri di sore hari di spa.,Dia memijat seluruh tubuhnya.,Dia bahkan menjalani sesi hidroterapi.,Dia merasa sangat rileks dan puas setelahnya.,"Suatu hari nanti, katanya pada dirinya sendiri, dia akan mendapatkan pijatan seluruh tubuh."
Jaris ingin memetik bunga liar untuk vasnya.,Dia pergi ke taman negara bagian.,Dia memetik berbagai macam bunga.,Sedikit yang Jaris sadari bahwa itu adalah taman nasional.,Jaris mendapat masalah dan meminta maaf sebesar-besarnya.,Jaris memetik bunga dari taman negara bagian.
Teman saya dan saya mengadakan kontes kecil beberapa hari yang lalu.,Kami mencoba melihat siapa yang bisa meniup gelembung permen karet terbesar.,Kami mengambil belokan yang berbeda dan akan melakukan pengukuran.,"Ketika dia mencapai yang terbesar, saya memunculkannya.","Dia sedikit marah, tapi saya hanya tertawa.",Dia tidak pernah mengerti cara terbaik untuk menggoreng telur.
Pearl mengumpulkan CD dengan gambar sampul jelek.,Dia menghargai CD jazz dengan dua lumba-lumba yang diedit bersama.,Kakaknya mencuri CD itu karena marah padanya.,Hati Pearl hancur dan dia memohon kepada adiknya untuk mengembalikannya.,Adik Pearl sedang membalas dendam.,Adik Pearl berharap bisa menyenangkannya.
Bryan sedang berbelanja buah untuk keluarganya.,Dia melihat ke seluruh lorong tetapi tidak bisa memutuskan buah.,"Istrinya benci anggur, putrinya benci apel.",Bahkan putranya adalah pemakan buah yang cerewet!,Bryan memutuskan untuk membeli pisang.,Bryan membeli pasta.
Danny bekerja di toko es krim lokal musim panas ini.,Dia sangat bersemangat untuk memulai pekerjaan pertamanya.,"Pada hari pertamanya, seorang bocah lelaki menjatuhkan es krimnya ke lantai.","Tanpa ragu, Danny tahu apa yang harus dilakukan.",Dia memberinya satu sendok es krim lagi.,Dia menolak memberinya sendok lagi.
Quentin belum pernah naik perahu seumur hidupnya.,"Suatu musim panas, seorang teman mengundang Quentin ke rumah danau miliknya.","Ketika mereka di sana, Quentin dan temannya pergi berlayar.",Itu adalah pengalaman yang menggembirakan.,Quentin senang dia pergi.,Quentin berjanji tidak akan berlayar lagi.
Keluarga Bill tinggal di atas bukit.,Tidak pernah hujan atau badai di sana.,Suatu hari tornado melanda daerah itu.,"Rumah Bill tertabrak, dan atapnya robek.",Perusahaan asuransi menanggung biaya untuk atap baru.,"Mereka memutuskan bahwa mereka tidak membutuhkannya, dan pindah."
Jill melihat infomersial untuk gelas kaca yang tidak bisa dipecahkan.,Dia kagum dan memesannya.,"Ketika Jill menerima cangkir itu, dia ingin mengujinya.",Dia menjatuhkan satu di lantai kayu kerasnya.,Itu rusak dan Jill merasa bodoh karena memercayai hype.,"Kain itu robek menjadi dua, sangat mengejutkan Jill."
Steve sedang terburu-buru untuk pergi ke pertandingan sepak bola.,"Di jalan raya, Steve mengemudikan mobilnya dengan sangat cepat.",Patroli jalan raya menghentikan mobil Steve.,Petugas itu menulis tilang kepada Steve karena ngebut.,Steve kesal.,Steve senang.
Sebuah band baru ingin agar lagu mereka cepat populer.,Mereka menyuap beberapa DJ radio untuk memutar lagu mereka secara bersamaan.,"Saat orang mendengarkan radio, lagu yang sama diputar di semua stasiun.",Mereka menjadi sukses besar dalam semalam.,Mereka sangat bersemangat menjadi terkenal.,Itu membuat mereka tertekan.
Harry sangat ingin melihat film Star Wars yang baru.,Dia mengantri di box office pada hari pembukaan.,Dia bisa membeli tiket untuk dirinya sendiri.,Dia menonton seluruh film.,Harry sangat menyukai film itu.,Harry senang dia melihat film itu bersama teman-temannya.
Mark membuka pintu belakang restoran dan berjalan keluar.,Ini adalah waktu untuk membuang sampah.,"Di tengah jalan menuju tempat sampah, dia melihat banyak burung, memakan sampah.",Dia sudah kelaparan sebelumnya jadi dia tahu semua yang harus dimakan.,Dia merasa kasihan pada burung-burung itu.,Tandai hewan yang dibenci.
Suamiku suka es krim Blue Belle.,"Belum lama ini, Blue Belle menarik kembali dan berhenti memproduksi.","Anak saya bekerja di Kroger, mereka baru-baru ini mengadakan pertemuan tentang Blue Belle.",Es krim Blue Belle tiba di Kroger minggu lalu.,Suamiku sangat berterima kasih!,Suamiku sangat kecewa!
Suatu Jumat malam kami semua masuk dan mendapat pizza besar.,Adikku menggigit sepotong permen karet di atasnya.,"Jijik, kami menelepon tempat pizza untuk mengeluh.",Mereka datang ke rumah kami dan menyangkal semuanya.,Kami memesan dari toko lain.,Mereka meminta maaf dan memberi kami pizza lagi.
Amelia memutuskan untuk berlibur ke Meksiko.,Dia memesan penerbangan dan hotelnya.,"Ketika dia tiba di Meksiko, dia pasti akan mengunjungi banyak hal yang berbeda.",Dia menyukai setiap momennya.,Amelia memutuskan untuk lebih sering berlibur ke Meksiko.,Amelia memutuskan untuk tidak pernah kembali ke Meksiko.
Veronica tahu dia sangat perlu minum lebih banyak air.,Dia tidak benar-benar ingin beralih ke produk bubuk beraroma.,"Saat mencari ide secara online, dia menemukan infuser buah.",Dia memesan botol dingin yang berisi buah untuk membumbui air.,Veronica berusaha hidup lebih sehat.,Veronica tidak peduli dengan kesehatannya.
Adam membutuhkan topi baseball baru.,Dia melihat online pada berbagai topi.,Dia memilih topi yang sempurna dan memesannya.,Dia sangat senang menerimanya.,Dan dia membukanya begitu sampai di sana.,Dia melempar kotak itu ke lemari.
Selena adalah artis musik yang memiliki banyak penggemar.,Salah satunya terlalu terobsesi.,Dia terus mengikuti tempatnya di depan umum dan mengirim pesan menyeramkan padanya.,Dia memutuskan untuk pergi ke pihak berwenang.,Selena memastikan orang tersebut ditangkap.,Selena pergi berbelanja.
Kelly ada wawancara kerja baru hari ini.,Dia bersiap-siap dalam sepuluh menit dan berlari keluar pintu.,"Ketika dia sampai di sana dan bertemu dengan wanita itu, dia menjawab pertanyaan.","Ketika wawancara selesai, mereka mengatakan kepadanya bahwa mereka akan meneleponnya kembali.",Kelly berharap dia akan segera ditelepon.,Kelly berharap dia tidak mendapat telepon.
Bob mengambil kacamatanya dari meja.,Dia menyelipkannya di ranselnya untuk dipakai di sekolah.,Dia membutuhkan mereka untuk melihat papan tulis.,Dalam sains dia memakainya.,Bob bisa membaca tulisan di papan tulis.,Bob senang menggunakan teropongnya.
Bobby harus pulang kerja larut malam.,Dia memutuskan bahwa dia akan memanggil taksi.,"Ketika dia berada di dalam taksi, dia menyadari bahwa dia mengenal pengemudi itu.",Dalam perjalanan pulang mereka mengobrol tentang berbagai hal.,Bobby menyadari waktu berlalu dengan cepat.,Bobby minta diantar ke restoran.
Sandra selalu menginginkan kura-kura peliharaan.,Dia memberi tahu orang tuanya bahwa dia akan bertanggung jawab untuk itu.,Awalnya orang tuanya tidak setuju.,Akhirnya Sandra meyakinkan orang tuanya bahwa dia harus memelihara kura-kura.,Dia menyukai kura-kura barunya.,Sandra kesal karena orang tuanya menolak membelikannya kura-kura.
Tiga gadis kecil sedang berdiri di tepi kolam renang di sebuah pesta.,Salah satu gadis tanpa sengaja mendorong gadis bungsu ke dalam kolam.,Gadis kecil itu tidak bisa berenang dengan baik dan mulai tenggelam.,Ayahnya memperhatikan dan berlari keluar dan menariknya keluar dari air.,Gadis kecil itu diselamatkan oleh ayahnya.,Sang ayah kemudian ditarik keluar oleh gadis itu.
Celina sudah sangat tua.,Pinggulnya selalu sakit.,Sulit baginya untuk berjalan.,"Suatu hari, dia mendapatkan alat bantu jalan.",Itu sangat membantunya.,Celina tidak memiliki kaki.
"Alex menduga kucingnya, Tigger, mungkin memiliki kutu.",Tigger terus-menerus menggaruk dirinya sendiri siang dan malam.,Alex membawa Tigger ke dokter hewan untuk didiagnosis.,Dokter hewan membenarkan bahwa Tigger memang memiliki kutu.,Mereka memberinya obat kutu dan sembuh.,Alex memutuskan untuk tidak memberi kucing itu obat yang diresepkan.
Putri saya membawa anjingnya untuk bermain dengan anjing saya.,Anjingnya besar dan penuh energi.,"Anjing saya kecil, pendiam, dan lebih tua.",Mereka sangat berlawanan.,"Bagaimanapun, kedua anjing itu senang bermain bersama.",Kucing-kucing itu membuat kekacauan di rumah!
Saya memutuskan untuk mengunjungi seseorang yang telah saya kencani secara online.,"Saya tidak pernah melihatnya secara langsung, tapi saya percaya padanya.",Penerbangan pesawat memakan waktu beberapa jam.,"Ketika saya tiba di hotel, dia bilang dia ada di depan.",Saya masuk dan melihatnya.,Saya naik pesawat dan terbang pulang.
Saya menyewa seorang manajer media sosial.,Saya pikir mereka akan mengarahkan lebih banyak lalu lintas ke situs web saya.,Mereka menghabiskan sebagian besar waktu mereka membaca postingan orang lain.,Lalu lintas saya benar-benar turun di bulan berikutnya.,Saya memutuskan untuk memecat manajer media sosial baru saya.,Saya memutuskan untuk menaikkan gaji manajer media sosial baru saya.
John sedang mengemudi di jalan raya.,A Mustang berhenti di sampingnya dan menjaga kecepatan.,Dia mengendarai Camaro barunya.,Mereka memutuskan untuk balapan.,John memenangkan perlombaan.,John menepi untuk membeli Mustang.
Tadi malam ada badai petir besar.,Itu menghilangkan kekuatannya.,Seluruh lingkungan tidak memiliki listrik.,Ini menjadi sangat dingin dan kami ketakutan.,Kemudian setelah sekitar satu jam listrik kembali menyala.,Kami harus menyekop salju.
Saya memulai diet kemarin.,Saya makan makanan sehat sepanjang hari!,Hari ini saya melihat pizza di lemari es.,Tekad saya hancur dan saya makan semua 5 buah.,Saya merasa malu.,Saya bangga dengan kemauan saya.
Jerry selalu ingin belajar bermain gitar.,Dia khawatir dia terlalu tua untuk mempelajari sesuatu yang baru.,"Namun, dia memutuskan untuk mendaftar di kelas gitar mingguan.",Akhirnya dia menjadi pemain gitar yang cukup baik.,Jerry memutuskan untuk memainkan gitarnya untuk teman-temannya.,Jerry membuang gitarnya ke tempat sampah.
Tahun lalu kami liburan keluarga ke pantai.,Saya menghabiskan banyak waktu membaca dengan ibu saya di pantai.,"Suatu hari saat membaca, saya disengat oleh tawon pantai yang mengerikan.","Lengan saya bengkak dan sakit, saya hampir harus pergi ke rumah sakit.",Akhirnya saya sembuh.,Saya menemukan saya senang menjadi bengkak.
Bryan bertanya-tanya mengapa lengannya gatal.,Dia menggaruk lengannya sampai meninggalkan bekas luka karena sangat parah.,Dia akhirnya pergi ke dokter dan dia menemukan bahwa dia menderita poison ivy.,Dokter memberinya salep dan beberapa antibiotik.,Bryan pulang dengan perasaan lega.,Bryan pulang kesakitan.
