Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Dyah bercita-cita menjadi guru.,"Sejak kecil, jika ditanya apa cita-citanya, ia selalu menjawab ingin jadi guru.","Sejak SD, SMP, sampai SMA, cita-cita Dyah tidak pernah berubah.","Setelah lulus dari SMA, Dyah mendaftar untuk jurusan Pendidikan Guru Sekolah Dasar di salah satu PTN dan diterima.",Dyah merasa bahagia bisa melanjutkan sekolahnya dalam bidang yang sesuai dengan cita-citanya.,Dyah merasa terpaksa melanjutkan sekolahnya di jurusan pendidikan.
Zeri sangat membenci nyamuk,Nyamuk menyebabkan Zeri masuk rumah sakit,Zeri selalu membunuh nyamuk di dekatnya,Seekor nyamuk hingga di kaki Zeri,Zeri segera memukul nyamuk tersebut,Zeri membiarkan nyamuk menggigitnya
Liburan kali ini SMP Harapan berlibur ke Bali,Mereka berangkat menggunakan bus dan kapal,"Sesekali, mereka berhenti untuk istirahat dan makan","Setelah tiga hari, mereka akhirnya sampai di Bali","Meskipun perjalanan sangat melelahkan, mereka sangat senang akhirnya sampai di tujuan","Setelah berfoto, mereka langsung pulang"
"""bun, aku ingin mengeluh"" ucap yola sambil menangis.","Tidak ada jawaban, hanya hening.","""Ternyata benar bun, menjadi dewasa itu sulit"" yola mengeluh lagi.","""beri aku nasihat bun..."" untuk kesekian kalinya yola mengeluh, namun tetap tidak ada jawaban.","Yola menghapus air matanya, lalu membasuh batu nisan bundanya dengan air yang ia bawa.",Pisau itu menancap ke perutnya hingga ia tidak dapat lagi bernapas.
Sore itu tiara dan naya duduk di suatu warung kopi untuk sejenak menenangkan pikiran.,"""apa aku kena penyakit mental ya?"" ucap tiara tiba-tiba.","""heh? memangnya kau kenapa?"" tanya naya balik pada sahabatnya itu.","""entah, aku selalu merasa cemas melihat pencapaian-pencapaian orang"" jawab tiara lagi, semakin lesu.","""itu wajar ra, mungkin kau butuh waktu. menghindari sosial media saat ini merupakan langkah yang baik"" naya tersenyum, mengembuskan napas.","""misi mba, mau minum apa?"" ucap salah seorang pelayan tiba-tiba."
Sarung bantal Yana ketumpahan kopi semalam.,Ia mengerjakan tugas di meja belajar samping kasurnya sambil minum kopi.,"Saat malam semakin larut, Yana yang mengantuk tidak sengaja menyenggol gelas kopi di atas meja ke kasur.",Kopi yang tersisa sedikit tumpah mengenai sarung bantal berwarna putih.,Sekarang Yana sedang merendam sarung bantalnya di cairan pemutih sambil menjemur bantal yang juga jadi ikut berwarna kecokelatan.,Sekarang Yana sedang berendam untuk menenangkan pikiran.
Wiharna mengajarkan bahasa jepang di sekolahnya,Wiharna merupakan lulusan sastra jepang,Wiharna mengajarkan bahasa jepang dengan menyenangkan,Murid Wiharna senang saat diajar olehnya,Wiharna dapat mengajar dengan baik,Wiharna mengajar mata pelajaran biologi
Lahan kosong di kota itu tidak terawat,Pemilik lahan tersebut tidak peduli dengan keberadaanya,Hazel membeli lahan kosong tersebut,Hazel membangun sebuah kedai kopi,Hazel mengubah laham kosong tersebut menjadi kedai kopi,Hazel tidak mempunyai uang untuk membeli makanan
Kucing Tania sangat suka bermain di luar rumah ,"Setelah makan pagi, kucingnya akan berjalan-jalan ke luar rumah",Ia akan kembali ke rumah saat jam makan sore,Tetangganya bercerita kucing Tania sering bermain dengan kucing komplek,Biasanya mereka bermain di sekitar warung yang menjual ayam goreng,Kucing adalah hewan mamalia
Tania mengikuti bimbingan belajar di dekat rumahnya,Tania akan segera menghadapi ujian akhir,Tania mendapatkan modul belajar dari tempat bimbingan belajar,Tania belajar dengan sangat giat,Tania mempelajari modul pembelajaran yang ia dapatkan dari tempat bimbingan belajarnya,Tania tidak tahu harus belajar darimana
Keara membuka pintu pada kursi penumpang.,Terburu-buru Keara masuk ke dalam taksi.,"Resital piano adiknya, Haris, diadakan satu jam lagi.",Perjalanan dari rumahnya ke tempat resital memakan waktu satu jam jika tidak ada kemacetan lalu lintas.,Keara berharap jalan yang akan ia lalui lancar agar ia bisa sampai sebelum resital piano Haris dimulai.,Keara berharap ia bisa cepat pulang ke rumah Haris.
Izumi ingin menjadi seorang penulis,Izumi sering berlatih menulis,"Izumi pernah membuat artikel, puisi, dan cerpen",Izumi memiliki beberapa buku yang telah diterbitkan,Izumi bercita-cita menjadi penulis terkenal,Izumi tidak suka dengan dunia tulis menulis
Bella tidak sadar jika lantai rumahnya baru saja dipel.,Bella ingin mengambil uang untuk membayar ojek yang dinaikinya.,Bella memasuki rumah dengan setengah berlari.,Bella pun terpeleset karena lantai licin.,Bella mengaduh keras sampai abang ojek di depan rumah menoleh kaget.,Bella mengaduh keras karena dipukul.
Jokowi memenangkan pemilihan presiden RI,Keluarga Jokowi ikut senang,Tak ketinggalan partai PDIP dan koalisinya,Pelantikan akan diadakan akhir bulan ini,Karenanya SBY sebagai presiden yang sedang menjabat telah meninggalkan istana,Jokowi memang presiden yang hebat
Rana bertemu dengan penipu,Rana kehilangan handphone dan uangnya,Rana melaporkannya ke polisi,Polisi menangkap penipu yang menipu Rana,Rana mendapatkan Handphone dan uangnya kembali,Rana membeli handphone baru
Memang sedih kehidupan Anjas,Sejak kecil ia telah ditinggal kedua orang tuanya,Ia hidup menumpang di rumah tantenya,"Sayangnya, sepupu Anjas tidak begitu menyukainya",Kerap kali Anjas di-bully oleh sepupunya sendiri,Anjas sering tertawa melihat sepupu-sepupu nya
Elisa baru saja membeli pohon mawar,Ia tertarik pada bunga cantik itu,Ia membeli dua pohon dengan warna mawar yang berbeda,Satu pohon mawar berwarna merah,Satu lagi pohon mawar berwarna kuning,Pohon mawar satunya transparan
Kamar Helen sangat lembab,Ia jarang sekali membersihkan kamarnya,Ia juga tidak pernah membuka jendela kamarnya,"Akibatnya, tidak ada pertukaran udara di kamarnya",Kondisi kamar Helen tidak baik untuk kesehatan,Setiap kamar wajib memiliki jendela
Arlen membeli baju baru,Baju baru Arlen ternyata terlalu besar,Arlen pergi ke tukang jahit,Arlen meminta penjahit untuk mengecilkan bajunya,Arlen dapat memakai bajunya dengan ukuran yang pas nantinya,Arlen tidak membeli baju baru
Pelajaran setelah ini adalah Biologi,Jio sedang tidak ingin belajar mata pelajaran tersebut,"Lalu, ia memiliki ide yang nakal",Ia menyembunyikan semua spidol di kelas,Ia berharap waktu pelajaran akan habis untuk mencari spidol,Setiap kelas wajib menjaga kebersihan kelas masing-masing
Hari ini Juju pergi ke dokter gigi,Sudah bertahun-tahun ia memakai kawat gigi,Ia harus memakainya karena giginya tidak rata,"Setelah lama memakai kawat gigi, akhirnya ia boleh melepasnya",Gigi Juju sekarang sudah rapi,Gigi Juju bertambah banyak setelah menggunakan kawat gigi
Nina memasak gulai ayam untuk makan siang,"Setelah bumbunya masak, ia memasukkan ayam ke kuah gulai",Ayam yang dipilihnya adalah ayam terbaik,"Sebelum dihidangkan, tidak lupa ia mencicipi rasanya",Rasa gulai sudah enak untuk dihidangkan sebagai makan siang,Ternyata rasa gulai keasinan sehingga ia membuangnya dan membuat yang baru
Nino kaget saat ia membereskan lemari bukunya,Bagian belakang lemari bukunya sudah habis oleh rayap,Beberapa bukunya juga sudah habis dimakan rayap,Nino berusaha menyelamatkan buku-buku yang masih utuh,Lemari buku itu ia keluarkan untuk membasmi rayap,Buku yang dimakan rayap memiliki harga yang tinggi
Pemuda menjadi harapan bangsa,Hari sebagai pemuda harus bisa berkontribusi untuk bangsa,Hari berusaha untuk memberikan yang terbaik bagi bangsanya,Hari ingin mengharumkan nama bangsa,Hari menorehkan prestasi untuk membanggakan bangsanya,Hari tidak peduli dengan nasib bangsanya
Yola ingin sekali menjadi orang yang sukses,Ia ingin menjadi panutan untuk adik-adiknya,Ia juga ingin adik-adiknya bisa bersekolah setinggi mungkin,"Untuk mencapai hal itu, Yola selalu rajin belajar",Tidak pernah sekalipun ia bermalas-malasan,Untuk menjadi orang yang sukses tidak memerlukan usaha
"Selama kejadian, Acha hanya bisa diam.",Acha takut sekali melihat Usam marah-marah.,"Hal tersebut membuat Acha semakin diam, tidak berani berbicara apa-apa.","Namun melihat Arta menangis, Acha mulai goyah.",Acha meyakinkan diri untuk jujur terhadap teman-teman yang berada di kelas.,Acha meyakinkan diri untuk pergi ke rumah Arta.
Maharani sangat menyukai keju,Maharani selalu memasak makanannya dengan keju,Maharani ingin membuat spaghetti,Maharani menambahkan keju pada spaghettinya,Maharani membuat spaghetti cheese bolognese,Maharani tidak bisa memasak spaghetti
Putra harus segera sampai di kantornya,Jalan raya yang biasa dilalui Putra macet parah,Putra mencoba melewati jalan pintas,Putra berhasil tiba di kantornya tepat waktu,Putra tidak telat sampai ke kantor,Putra terjebak macet di jalan raya
Elias pernah bekerja sebagai loker koran,Elias melemparkan koran ke halaman rumah,Elias bekerja dari pagi sampai siang,Elias sekolah pada sore hari,Elias dapat membagi waktu adalah bekerja dan belajar,Elias tidak sekolah
Tanaka adalah siswa pertukaran pelajar dari Jepang,Ia mengikuti kegiatan belajar mengajar selama 1 bulan di SMA 8 Jakarta,Tanaka sama sekali tidak bisa berbahasa Indonesia,Ia berkomunikasi dengan bahasa Inggris,Tanaka memperoleh teman-teman baru dari SMA 8,"Tanaka suka dengan negara tetangga Indonesia, yaitu Malaysia"
Tante Ranti sangat kaget,Tembok rumahnya penuh dengan coretan,Coretan tersebut dibuat menggunakan spidol,Ternyata keponakannya yang masih kecil mencoret-coret tembok,Mau tidak mau ia harus mengecat kembali tembok rumahnya,Tante Ranti meminta ganti rugi pada keponakannya
Warga RW 1 memiliki tabungan bersama,Tabungan itu digunakan untuk membeli sebuah lahan kosong,Lahan kosong itu dijadikan kebun bersama,Kebun itu ditanami sayur dan buah,"Ketika siap panen, warga diperbolehkan mengambil dari kebun secukupnya",Tinggal di desa memang sangat menyenangkan
Cia senang menonton film tentang putri kerajaan,Cian sering berkhayal bertemu dengan seorang pangeran,Ayah Cian mengabulkan keinginan Cian,Ayah Cian berpura-pura menjadi seorang pangeran,Cian senang mimpinya dapat diwujudkan oleh ayahnya,Ayah Cian tidak mengetahui keinginan Cian
"""Kenapa kalian terlambat? sudah jam berapa ini ?"" ucap seseorang di pintu ruangan menyambut tasya dan teman-temannya.",Tasya hanya mencibir dan melewati orang tersebut tanpa menjawab pertanyaan.,"Ia tahu, laki-laki yang sedang berdiri di pintu itu hanya sedang menggodanya.","""wahh judah berani mencibir kau ya"" ucap si lelaki lagi sambil menyusul tasya ke meja kerja.","Tasya hanya tersenyum dengan pipi merah, sementara lelaki itu mengerdipkan mata kepadanya.",Tasya membanting kursi lalu pergi meninggalkan kantor.
Ibra geram melihat kelakuan anak-anak di lingkungan rumahnya.,Mereka melempari batu ke anjing yang terikat di taman perumahannya.,Anjing itu tidak bisa lari.,Suara kaingnya yang keras terdengar memilukan hati.,Ibra berteriak keras mengusir anak-anak nakal itu dan berdiri di depan si anjing untuk melindunginya.,Ibra berteriak keras memanggil temannya yang tidak juga keluar dari dalam rumah.
Pendengaran Rio semakin berkurang,Hal ini disebabkan pekerjaannya sebagai keamanan di konser,Ia seringkali mendengar suara keras dari speaker,Ia juga terbiasa mendengar suara musik yang keras saat konser,"Oleh karena itu, ia tidak lagi terbiasa mendengar suara yang pelan",Kualitas speaker di konser pasti sangat bagus
Efani mengingat kenangannya,Efani menangis untuk yang kesekian kalinya,Efani menyesal dengan kesalahan yang ia buat di masa lalu,Efani ingin melupakan semua masa lalunya,Efani tidak bisa tenang jika kenangan itu menghantuinya,Efani tegar ketika harus dihadapkan dengan kenangannya
Kakek sudah berusia 70 tahun,Semua cucunya menyayanginya,"Meski kakek sudah sakit-sakitan, mereka selalu mengunjungi beliau setiap hari",2 bulan lalu kakek telah menghembuskan nafas terakhirnya,Cucu-cucu kakek sulit menerima kenyataan ini,Cucu-cucu kakek masih suka mengunjungi kakek di rumahnya.
Pia tertarik dengan gelang-gelang yang dijual di salah satu stan bazar.,"Dari kejauhan, kilau dari gelang telah memikat Pia.",Pia menghampiri stan tersebut.,"Selain gelang, ada juga berbagai macam perhiasan seperti kalung dan cincin.",Penjaga stan segera mempromosikan barang jualannya kepada Pia.,Penjaga stan segera pergi melihat Pia datang.
Nia menjadi primadona di sekolahnya,Nia menarik perhatian lawan jenisnya,Nia tidak terpaku pada gelar yang melekat padanya,Nia tetap menganggap semua orang setara dengannya,Nia bersikap rendah hati,Nia menganggap semua orang adalah bawahannya
Siang itu komplek perumahan Kemal sangat sepi,Kemal yang bosan memutuskan untuk tidur siang,Tiba-tiba ia mendengar suara pagar rumahnya dibuka,Kemal yang penasaran mengintip lewat jendela,Ternyata ada maling hendak mengambil motornya,Pagar rumah Kemal berwarna hijau dan emas
Mona memanggil penjual bubur ayam yang lewat di depan rumah.,Mona telah siap dengan dua mangkuk di tangannya.,"Mona berpesan satu bubur jangan diberi kacang, satu lagi jangan diberi daun bawang.",Mona juga meminta ekstra sambal untuk keduanya.,"Sembari menunggu, Mona berlari kembali ke dalam rumah untuk mengambil uang.","Sembari menunggu, Mona masuk kembali ke dalam rumah untuk melanjutkan tidur."
Zora mendapatkan tantangan dari musuhnya,Zora harus menghabiskan mie dengan cabai,Zora tidak diizinkan makan pedas oleh dokter,Zora mengaku kalah dari musuhnya,Zora tidak memakan mie dengan cabai tersebut,Zora lebih mementingkan ego dan kehormatannya
Okky tertidur di dalam kereta.,Petugas kereta membangunkannya saat kereta sudah berhenti di stasiun terakhir.,Okky sempat panik.,Namun Okky segera tersadar kalau tujuannya memang stasiun terakhir.,Okky berterima kasih kepada petugas yang membangunkannya sebelum berjalan keluar dari kereta.,Okky berterima kasih kepada bapak yang duduk di sebelahnya.
"""hei tunggu tia, aku mau bicara"" ucap toni ketika tanpa sengaja ia berpapasan dengan tia.",Tia sudah seminggu lebih menghindari toni tanpa alasan.,"""maaf toni, aku buru-buru"" jawab tia sembari tetap berjalan menjauhi toni.","""tidak bisakah kau sedikit memberiku penjelasa? aku tidak bisa terus begini tia"" toni mencoba meraih tangan tia, namun gadis itu melepaskannya.","Tia tetap bergeming, ia menaiki bus yang kebetulan akan berangkat lalu meninggalkan toni.",Tia merupakan gadis yang ceria dulunya.
Salah memilih produk perawatan rambut dapat berbahaya,Hal itulah yang dialami Mira,Ia membeli sebotol sampo murah yang tidak jelas pabriknya,Mira tergiur dengan harganya yang murah dan baunya yang unik,Sekarang rambut Mira rusak dan rontok,Rambut Mira menjadi lebat dan indah
Redy sedang bermain game di komputer dalam kamarnya ketika ia mendengar suara dari lantai bawah.,Ia berhenti bermain dan berusaha menajamkan telinganya.,Suara yang tadi ia dengar telah hilang.,"Redy kembali melanjutkan bermain game, tetapi suara tersebut muncul lagi.",Redy segera keluar dari kamarnya menuju lantai bawah untuk mengecek sumber suara.,Redy segera keluar dari kamarnya menuju kamar mandi.
Burung kakak tua ku bernama Tono,Dia suka bernyanyi,Ku perlihara dia sejak 1 tahun silam,Nyanyiannya sampai sekarang masih saja merdu,Tono memang burung yang pintar,Tono memang sudah tua
Barnes adalah prajurit yang sangat muda,Barnes lolos seleksi prajurit untuk melindungi istana,Barnes mengabdikan jiwa dan raganya,Barnes bertanggung jawab atas keselamatan keluarga kerajaan,Barnes menjadi pemimpin prajurit pada 2 tahun setelahnya,Barnes adalah seorang pedagang termuda di wilayah istana
Kayla menanam banyak sekali bunga di tamannya,Bunga-bunga itu memiliki warna yang beragam,"Ketika mekar, sebagian bunga itu ia petik ",Bunga yang ia petik dijadikan bunga kering,"Lalu, hasilnya ia jual untuk bahan kerajinan tangan",Setelah kering bunganya ia tanam kembali
Tidak butuh waktu lama bagi kami untuk sampai di puncak.,Aku menang beberapa langkah darinya.,"""haha! lihat siapa yang menang, kau memang payah.."" kalimatku terhenti setelah mataku tanpa sengaja melihat pemandangan kota dibawah sana.",Aku terperangah kagum melihat pemandangannya.,"""kau pasti tidak menyangka pemandangan puncaknya akan seperti ini"" ucapnya sambil mengelus kepalaku.",Ia membuka sepatu lalu memanjat pohon mangga itu.
"""Iya. Aku egois na, maaf..."" zoe menggapai tangan yona.","""Sudah. Bagiku semuanya sudah tertinggal di belakang sana"" yona menarik tangannya dari genggaman zoe..","""Apa aku sudah terlambat?"" Tampak raut wajah kecewa dari laki2 itu.","""Tidak. Kau bukannya terlambat, namun dari awal sepertinya takdirku memang bukan dirimu zoe."" Jawab yona pasrah.","Zoe menutup muka dengan kedua telapak tangan, menyesali perbuatannya selama ini.",Zoe memakai jam tangan pemberian yona.
Emily mencoba berbagai ide bisnis,Emily berinovasi dengan menjual tanaman serta pot yang lucu,Emily berusaha menarik perhatian pembeli,Emily mendapatkan keuntungan yang cukup banyak dari hasil penjualannya ,Inovasi yang diciptakan Emily berhasil menarik perhatian pembeli,Emily tidak ingin memulai bisnis apapun
Veni mengerjakan laporan keuangan,Veni tidak suka menghitung angka,Veni bekerja sebagai akuntan,Veni bertugas menghitung keuangan di kantornya,Veni terpaksa berkutat dengan angka-angka,Veni tidak mau bekerja sebagai akuntan
Wart menghadiri acara pelantikan ayahnya,Ayahnya terlihat gagah dengan seragam tentara kebanggaannya,Wart ingin menjadi seperti ayahnya,Wart belajar dan berlatih untuk dapat mewujudkan cita-citanya,Wart menjadi seorang tentara pada umur 27 tahun,Wart ingin menjadi guru seperti ayahnya
Miller seorang petani kedelai,Miller sangat telaten mengolah kedelai miliknya,Warna kedelai yang dipanennya berwarna hitam,Kedelai tersebut akan diolah menjadi kecap,Miller mendapatkan uang dari hasil penjualan kecap,Miller menjual susu kedelai
Yira sudah menyelesaikan kuliahnya,Yira baru saja diwisuda dari universitasnya,Yira akan pulang ke rumahnya,Yira harus segera mengemas barangnya di kos,Yira merindukan rumahnya,Yira tinggal di rumahnya selama berkuliah
Pernak-pernik Mila semua bermotif beruang kutub,Mila memang sangat suka hewan berbulu putih tersebut,Menurut Mila beruang kutub sangat menggemaskan,Bulunya putih seperti salju,Tubuhnya besar dan wajahnya sangat menggemaskan,Beruang kutub tidak bisa tinggal di cuaca panas
Olahraga hari ini adalah lompat jauh,Guru olahraga mereka sudah menyiapkan tempat berpasir untuk mendarat,"Saat Romi mendarat, teman-temannya iseng melempar pasir ke Romi",Romi membalas teman-temannya dan ikut  melempari pasir,Mereka dimarahi oleh guru olahraga karena main-main saat jam pelajaran,Guru olahraga mereka mengganti praktek menjadi lempar pasir
Jeni pergi ke sungai,Jeni melihat ada bunga teratai di tengah sungai,Jeni ingin mengambil bunga teratai tersebut,Jeni tidak melihat batas sungai yang dipasang,Jeni terjatuh ke sungai,Jeni tidak suka dengan bunga teratai
Penjajah tentu memiliki senjata yang lebih canggih,Pahlawan Indonesia tidak gentar dengan fakta tersebut,Pahlawan terus memperjuangkan kemerdekaan Indonesia,Penjajah berhasil dipukul mundur dan menyerah,Jasa para pahlawan haruslah dikenang oleh generasi saat ini,Pahlawan tidak peduli dengan perbuatan penjajah negeri ini
"Sore ini, di rumah Hani sedang ada acara pengajian.",Ibu Hani dan ibu-ibu tetangga memang rutin mengadakan pengajian RT setiap bulannya.,"Sebelum orang-orang berdatangan, di meja makan telah terhidang banyak makanan kecil.",Hani mencomot pisang goreng dengan tangannya yang belum dicuci.,"Ibu segera menghampiri Hani untuk menepuk tangannya pelan, kemudian menyuruh untuk cuci tangan terlebih dahulu.",Ibu segera menghampiri Hani dan ikut mengambil pisang goreng tanpa mencuci tangan.
Arka senang bermain bola dengan teman-temannya.,Mereka biasa bermain bola di lapangan dekat sekolah.,"Begitu bel pulang sekolah berbunyi, Arka akan berlomba lari dengan teman-temannya.",Siapa yang paling cepat sampai di lapangan akan ditraktir makan.,Arka dan teman-temannya bermain bola dengan riang.,Arka dan teman-temannya bermain basket dengan riang.
Umur Zaid terpaut 2 tahun dengan Bagja.,"Ketika masih anak-anak, mereka sering sekali bertengkar.",Zaid suka mengisengi Bagja sang adik sampai Bagja menangis.,"Namun ketika sudah dewasa, mereka justru menjadi akrab.",Zaid dan Bagja selalu menyempatkan waktu untuk bertemu setidaknya seminggu sekali di tengah kesibukan masing-masing.,Zaid dan Bagja tidak pernah bertemu selama dua tahun.
Adik dibelikan sepeda baru,Adik mengajak kakak untuk bersepeda,Kakak menolak tawaran adik,Kakak tidak memiliki sepeda,Adik bersepeda sendirian di lapangan,Kakak juga dibelikan sepeda baru
Arini membeli banyak makanan,Arini harus menyimpan persediaan untuk satu bulan ke depan,Arini tidak bisa terlalu serint berbelanja,Arini harus tetap di rumah saja,Arini jarang berbelanja ,Arini berbelanja setiap hari
"""Jadi, ada cerita apa hari ini?"" Manusia menyebalkan itu tiba2 saja memunculkan wajah genitnya ketika aku hendak menuruni tangga perpustakaan.","""Mengapa tiba2 bertanya seperti itu?"" Jawabku tanpa sedikitpun menatap matanya.","""Kau terlihat berbeda akhir2 ini"" ucapnya lagi sambil memberikan sebungkus siomay, mungkin sebagai sogokan.","""Berbeda?"" Aku langsung berhenti dan memalingkan wajah kepadanya.","""Ya.. lebih bersemangat? Lebih banyak bicara?"" ucapnya ragu.",Laki-laki itu mengambil siomay nya lalu berlalu pergi.
Rita membutuhkan bantuan untuk menyambung hidupnya,Rita mengajukan bantuan ke suatu lembaga,Baznas adalah lembaga yang mengurusi zakat di Indonesia,Rita berhasil mendapatkan bantuan untuk menyambung hidupnya,Rita mendapatkan bantuan dari lembaga Baznas,Rita mampu menghidupi dirinya sendiri tanpa bantuan orang lain
Hari ini Tata sangat kesal,Adiknya meminta ia membelikan mainan,Tata sudah mengingatkan bahwa harga mainan yang dijual terlalu mahal,"Apalagi, kualitasnya tidak sesuai dengan harganya yang mahal","Berhubung adiknya terus merengek, akhirnya Tata membelikannya",Tata menjual adiknya ke penjaga toko karena kesal
Ibu Saiful telah sakit-sakitan sejak ditinggal suaminya,Sudah berkali-kali ia ke rumah sakit,Sehingga biaya pengobatan menguras keuangan keluarga,Saiful anak satu-satunya terpaksa berhenti sekolah dan mencari pekerjaan,Semua dilakukan demi kesehatan sang Ibu,Saiful merasa tidak bergairah untuk bersekolah karena merasa tidak ada gunanya
Rina tidak suka minum susu,"Menurutnya, raasa susu sangatlah aneh",Ia selalu mual jika meminum susu,"Padahal, ibu sudah mencoba berbagai jenis susu untuk Rina minum","Namun, Rina tetap tidak suka minum susu",Ibu ingin memasak kue keju untuk Rina
Saufika menulis materi yang tertera di papan tulis.,Suasana kelas sudah sepi.,"Hanya ada Saufika dan teman sebangkunya, Dianti.",Dianti menemani Saufika mencatat materi dari jam pelajaran terakhir tadi.,Dianti telah terbiasa melalukannya karena sudah tahu bahwa Saufika memang lama sekali jika menulis.,Dianti sudah terbiasa menulis di papan tulis.
"Sabrina menemani kakaknya, Dhanendra, berkeliling untuk menyebar undangan pernikahan Dhanendra.",Sejak pagi tadi Sabrina dan Dhanendra sudah pergi menaiki mobil.,Mereka berkunjung ke rumah saudara-saudara yang tidak jauh dari rumah mereka.,"Undangan pernikahan untuk saudara memang ingin diberikan langsung oleh Dhanendra, sekaligus silaturahmi.",Total ada lima rumah saudara yang harus didatangi oleh mereka hari ini.,Total ada lima rumah yang harus diliat Dhanendra untuk acara resepsi pernikahannya.
Haya tertarik dengan senam lantai,Haya ingin menjadi atlet senam,Haya melatih tubuhnya agar lentur dan lincah,Haya berhasil menenangkan kejuaraan nasional,Hasil kerja keras Haya membuahkan hasil,Haya menyukai pekerjaan di balik layar
Heira memberikan boneka panda untuk Fusay,Heira mendapatkannya dari hasil bermain di pasar malam,Fusay menerima boneka panda yang diberikan Heira,Fusay memeluk boneka tersebut dengan sangat erat,Heira memenangkan permainan di pasar malam,Boneka panda Fusay terjatuh di jalan karena terlepas
Maria memiliki sebuah boneka beruang yang lucu,Boneka tersebut diberi nama Lilia,Maria membawa Lilia kemana saja dia pergi,"Baik di sekolah maupun di rumah, ia tidak pernah lupa membawa Lilia",Anak berusia 5 tahun itu sangat menyukai boneka beruang hadiah pemberian orangtuanya,Maria menganggap Lilia sebagai anaknya
Ketika SD Feri selalu dibully oleh teman-temannya,Ia sering dihina dan juga dipermainkan oleh temannya,Ia pun sering menangis di sekolah,Sudah 12 tahun berlalu saejak Feri lulus sekolah dasar,Feri menjadi sosok yang kurang percaya diri dan kurang pandai bergaul,Feri memiliki banyak teman dan sangat menyayangi temannya
Lena tidak boleh memakan makanan yang asin,Lena memiliki masalah pada lambungnya,Lena hanya boleh memakan makanan yang manis,Lena tidak pernah mencoba garam selama hidupnya,Lena tidak mengetahui rasa garam,Lena selalu menambahkan garam pada setiap masakannya
Gloria duduk bersandar pada tembok belakang kelasnya.,Ia dikelilingi oleh teman-temannya yang lain.,Mereka sedang berdiskusi mengenai penampilan untuk perayaan Hari Guru Nasional.,Tanpa terasa bel tanda waktu istirahat pertama berakhir berbunyi.,Diskusi akan dilanjutkan nanti di saat istirahat kedua sambil makan siang.,Diskusi akan dilanjutkan nanti setelah semester sudah berganti.
