Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Wart attended his father's inauguration ceremony,His father looks dashing in his proud army uniform,Wart wants to be like his father,Wart learns and practices to be able to achieve his goals,Wart became a soldier at the age of 27,Wart wants to be a teacher like his father
Miller is a soybean farmer,Miller is very painstaking in processing his soybeans,The color of the soybeans they harvest is black,The soybeans will be processed into soy sauce,Miller gets money from selling soy sauce,Miller sells soy milk
Yira has finished college,Yira has just graduated from university,Yira will go home,Yira must immediately pack the goods at the boarding house,Yira missed her home,Yira stayed at her house during college
Mila's trinkets are all patterned with a polar bear,Mila really likes these white furry animals,"According to Mila, polar bears are very cute",Its fur is white like snow,His body is big and his face is very adorable,Polar bears cannot live in hot weather
Today's sport is a long jump,Their gym teacher has prepared a sandy place to land,"When Romi landed, his friends casually threw sand at Romi",Romi replied to his friends and threw sands too,They were scolded by the sports teacher for playing around during class hours,Their sports teacher changed the practice to sand throwing
Jeni went to the river,Jeni saw a lotus flower in the middle of the river,Jeni wanted to take the lotus flower,Jeni did not see the river boundary that had been installed,Jeni fell into the river,Jeni doesn't like lotus flowers
The invaders certainly had more sophisticated weapons,Indonesian heroes are not afraid of this fact,Heroes continue to fight for Indonesian independence,The invaders were repelled and surrendered,The services of heroes must be remembered by the current generation,Heroes do not care about the actions of the invaders of this country
"This afternoon, at Hani's house there is a recitation ceremony.",Ibu Hani and neighboring mothers do regularly hold RT recitation sessions every month.,"Before the people arrived, the dining table had served many snacks.",Hani grabbed the fried banana with her unwashed hands.,"Mother immediately approached Hani to clap her hands softly, then told her to wash her hands first.",Mother immediately approached Hani and took part in taking fried bananas without washing your hands.
Arka likes to play football with his friends.,They used to play ball on the field near the school.,"As soon as the bell for home from school rings, Arka will have a race with his friends.",Whoever reaches the field the fastest will be treated to a meal.,Arka and his friends play football happily.,Arka and his friends play basketball happily.
Zaid is 2 years apart from Bagja.,"When they were children, they fought a lot.",Zaid likes to tease his younger brother Bagja until Bagja cries.,"But when they grow up, they become close.",Zaid and Bagja always find time to meet at least once a week in the midst of their respective busyness.,Zaid and Bagja haven't seen each other for two years.
My brother bought me a new bicycle,My younger brother invited my brother to ride a bike,Brother refused sister's offer,Brother doesn't own a bicycle,Little brother cycling alone in the field,Brother also bought a new bicycle
Arini bought a lot of food,Arini must keep supplies for the next month,Arini can't be too crazy shopping,Arini must stay home,Arini rarely shopped,Arini shopping every day
"""So what's the story today?"" That annoying human suddenly made a flirtatious face when I was about to go down the library stairs.","""Why suddenly ask like that?"" I answered without even looking into his eyes.","""You look different lately"" he said again, handing him a packet of dumplings, perhaps as a bribe.","""Different?"" I immediately stopped and turned my face to him.","""Yes .. more excited? Talk more?"" he said doubtfully.",The man took the dumplings and then walked away.
Rita needs help to make ends meet,Rita asked for help to an institution,Baznas is an institution that deals with zakat in Indonesia,Rita managed to get help to make ends meet,Rita received assistance from the National Baznas institution,Rita was able to support herself without the help of others
Today Tata is very upset,His younger brother asked him to buy a toy,Tata has warned that the price of the toys being sold is too expensive,"Moreover, the quality does not match the high price","Since her sister kept on whining, finally Tata bought her",Tata sold her sister to a shopkeeper out of annoyance
Ibu Saiful has been sickly since her husband left her,He has been to the hospital many times,So that the medical costs drain the family finances,"Saiful, the only child, was forced to quit school and look for work",Everything is done for the health of the mother,Saiful felt that he was not excited to go to school because he felt it was useless
Rina doesn't like drinking milk,"According to him, the taste of milk is very strange",He always gets nauseous when he drinks milk,"In fact, my mother has tried various types of milk for Rina to drink","However, Rina still doesn't like drinking milk",Mother wants to cook cheesecake for Rina
Saufika wrote the material listed on the board.,The class atmosphere was quiet.,"There's only Saufika and his classmate, Dianti.",Dianti accompanied Saufika to write down the material from the last lesson.,Dianti has become accustomed to doing it because she already knows that Saufika takes so long to write.,Dianti is used to writing on the blackboard.
"Sabrina accompanied her sister, Dhanendra, on a tour to distribute Dhanendra's wedding invitations.",Since this morning Sabrina and Dhanendra have gone by car.,They visited the brothers' homes not far from theirs.,"Dhanendra wanted to give a wedding invitation for you, as well as get in touch.",In total there are five homes of brothers that they have to go to today.,In total there are five houses that Dhanendra must see for his wedding reception.
Haya is interested in floor exercises,Haya wants to be a gymnastics athlete,Haya trains her body to be flexible and agile,Haya managed to calm the national championship,Haya's hard work paid off,Haya likes behind the scenes work
Heira gave a panda doll to Fusay,Heira got it from playing at the night market,Fusay received a panda doll that Heira gave him,Fusay hugged the doll very tightly,Heira wins a game at the fair,Fusay's panda doll falls on the road because it is released
Maria has a cute teddy bear,The doll is named Lilia,Maria takes Lilia wherever she goes,"Both at school and at home, he never forgot to bring Lilia",The 5 year old boy really likes the teddy bear his parents gave him,Maria considers Lilia to be her child
When SD Feri was always bullied by his friends,He is often insulted and played by his friends,He also often cried at school,It has been 12 years since Feri graduated from elementary school,Feri is a figure who lacks confidence and is not good at socializing,Feri has many friends and loves his friends very much
Lena should not eat salty food,Lena has a stomach problem,Lena can only eat sweet foods,Lena had never tried salt in her life,Lena doesn't know the taste of salt,Lena always adds salt to each of her dishes
Gloria sat leaning against the back wall of her classroom.,He was surrounded by other friends.,They are discussing about the performance for the National Teachers' Day celebration.,"Without being felt, the bell that the first break time ended rang.",The discussion will be continued later during the second break over lunch.,The discussion will be continued later after the semester has changed.
Jio has been wanting to raise a cat for a long time,"However, he was still confused about what kind of cat he would choose",Jio searches the internet about cat types,He also regularly surfs the pet shop's social media,Finally Jio chose to raise a Persian cat,"After thinking it through, Jio wanted to raise a big cat like a tiger"
Brother is a lazy person,Mother entered my sister's room,Mother is angry seeing sister's room,Brother immediately cleaned up his room,Brother's room is very messy,Brother was very diligent in cleaning up his room
Maya and her sister went on vacation,Maya chose a vacation to Bali,Maya's sister chose a vacation to Surabaya,Maya's sister doesn't board the same plane as Maya,Maya and her sister are not on vacation together,Maya went on vacation to Surabaya
Hasya wants to start a business,Hasya shop only serves buyers in e-commerce,Hasya does not open a kiosk for his business,Hasya did a massive publication for his shop,Hasya only sells goods online,Hasya tidied up his messy merchandise on the shelf
Ussy felt that the final math test problem should be annulled.,The numbers are not clear on the matter.,Some children get questions with different numbers.,"Even though the method and answer written is correct, it will still be wrong if it refers to the teacher's answer key.",Ussy intends to talk to his teacher later at recess.,Ussy intends to go home.
Tiara down the hall of the apartment to find her favorite cat.,"Arriving at the end of the hall, tiara found her cat.",But the cat is with someone.,Tiara immediately approached and greeted someone who was feeding the cat.,"""hey .. thank you for feeding him. I was looking for him from now on,"" said Tiara.","""How about we have dinner together?"" said tiara."
Vallen has been unconscious for a week,The Vallen family is worried about Vallen's situation,Vallen's parents always wish the best for their children,Vallen's fingers moved and his eyes opened,Vallen has come out of the coma,Doctors said Vallen had died
Every month the women of RT 2 hold an arisan,Arisan held in the last week,"This time, it was Mrs. Mira's house that was chosen to be the host",Mrs. Mira prepares the dishes for the social gathering later,He prepares various traditional cakes and boxed rice,All the dishes are for the family to eat
Since morning it rained heavily,"Until noon, the rain had not stopped",The air became very cold because of the rain,This condition makes Juju lazy to do activities,"Since this morning, he hasn't gotten out of bed at all",Juju will hibernate when it rains
Dona divides the cake she brings evenly.,Today is Dona's 17th birthday.,"As a sign of gratitude, Dona made a cake.",This break is the perfect time for Dona to give her cakes to classmates.,Dona's friends say thank you while praying good things for Dona.,Dona's friends protest why there is a test today.
Reno and Rian have an argument at the shop,The two kindergarten children were invited to buy a pencil holder by the mother,They are attracted to pencil cases in the shape of toy cars,"Unfortunately, there was only one pencil holder left",Mother told them to find another pencil holder,Mother divided the pencil holder in half
Nara is currently very difficult to get out of his cell phone.,"Whereas in high school, he did not use a cellphone at all.",This made him release his grudge so that he was not satisfied with using a cellphone.,Ms. Nara was worried if there was eye damage to Nara.,"However, the girl was still ignorant and did not even listen to her mother's advice.",The girl had started smiling to herself looking at her cellphone.
"Prisa looked at her cat, Poci, with an accusing look.",Poci only meowed while licking its tail.,One piece of chicken thigh on Prisa's plate was missing.,"Prisa felt that Poci took the chicken, but he was too hungry to think about it.","Prisa gave Poci a final accusing look, then ate the remaining rice and omelette.",Prisa gave the pot a drink.
"Wendy, Arta's best friend, tries to calm Arta.",Wendy knew Arta didn't mean anything bad by accusing Arta of being a thief.,Arta just panicked because their class cash was Arta's responsibility as treasurer.,Coupled with a large amount because they just joined the prize money for Bu Ai's son.,Bu Ai just gave birth.,Bu Ai just came home.
Zumba has become a sport that Okta and Inge regularly do.,Every Friday night and Sunday morning is their schedule for zumba classes.,Okta and Inge are work friends who have been close since they started work.,"On Friday, they will leave for the gym from the office.","On Sundays, Okta will pick up Inge, whose house is close to the gym, and then leave together.","On Sundays, Okta will pick up Inge to watch a movie at the cinema."
Titin asks his parents for new clothes,Titin's uniform was torn by scissors,Titin uses scissors to do the craft,Titin's parents immediately bought Titin new clothes,The scissors hit the titin's uniform while working on the craft,Titin's parents buy Titin a new toy
Isa did not study well in high school,Isa did not continue his lecture,Isa failed the university entrance exam,Isa chose to work helping his parents,Isa works in his father's workshop,Isa received an achievement scholarship as a model student
Family gatherings should be a joyful moment,"However, Elisa never liked going to family events","Not only Elisa, her cousins ​​were not very comfortable at family gatherings either",Their parents always compare the children's achievements with each other,This discomfort makes Elisa always alone at family gatherings,Elisa resigned from her family
Lira is promoting her shop,Lira hopes that more and more buyers will come to her shop,Lyra wanted to make a lot of profit from her sales,Lyra was successful with her marketing strategy,Lyra's shop is getting more and more famous,Lyra doesn't have a shop
Evelyn really wanted to be a doctor,Evelyn wants to help those who can't,Evelyn's parents wanted her son to go to business school,Evelyn couldn't go against the will of her parents,Evelyn continued her studies at a well-known business school,Evelyn became a doctor thanks to the support of her parents
Diamond blamed herself,Intan shouldn't have been too naive,Intan regretted his life story,Diamond must rise from the state,Heartbreak will make Diamond stronger,Diamond does not want to continue her life
Enzo often bought takjil at the mosque near his home.,There are many kinds of takjil that are sold.,"There are banana compote, various fried foods, and several kinds of ice drinks.",Enzo's favorites are banana compote and stuffed tofu.,Enzo never forgot to buy takjil there during the month of Ramadan.,Enzo never forgot to pray tarawih at the mosque during the month of Ramadan.
The news about Ari was confirmed.,"Ridho, Ari's best friend, has confirmed it.",Ari will not go to SMA 2 again starting next month.,The position of Chair of the OSIS held by Ari will automatically be replaced by his deputy.,"Ari had to change schools because he was also moving abroad, following his father who worked as a diplomat.",Oji had to change schools because he was bored in SMA 2.
Livie lives near the cliff,"If it landslides, Livie's house will fall off the cliff",That night there was a landslide in the area of ​​Livie's house,Livie is successfully evacuated,Livie's house was badly damaged,Livie led her home away from the cliff
Rys likes to wear pants,Rys's mother bought him a new skirt,Rys is always uncomfortable wearing a skirt,Rys will only wear pants,Rys will not wear the skirt her mother bought her,Rys went to the playground wearing a skirt
Kayla is very lazy to take a shower,"On holidays, sometimes he doesn't shower at all","Before leaving for school, it was very difficult to get Kayla to take a shower","As a result, Kayla's body became dirty and smelly",It is not uncommon for her skin to itch due to rarely showering,Kayla is proud to have a smelly body
Arya became the flag-raising troop,Arya is a pride for parents and school,Arya raises the flag at the state palace,Troops raising the flag of destruction must pass a tough selection,Arya passed the selection to become an heirloom flag raising troop,Arya didn't want to raise the flag
Mrs. Lala has four children,Her children are the eldest and youngest boys,The middle child is a girl,Each child is born within one year,"Even though they are close together, they always get along well",Mrs. Lala wants to have more children
Farhyand's father and mother are divorced,Farhyand lives with his father,Farhyand's mother has custody of Farhyand,Farhyand's father gave him the freedom to choose,Farhyand chose to live with his mother,Farhyand's father forces Farhyand to live with him using his custody
Nirmala is eager to work,Nirmala's parents have no money,Nirmala wants to just drop out of school,Nirmala can help her parents earn money,Nirmala doesn't want to trouble her parents,Nirmala only understands how to spend money
Mother is buying a negligee in the market,Mother was interested in the three negligee sold,"Unfortunately, my mother's money was less than twenty thousand","Finally, the mother bargained for a long time with the negligee seller","After bargaining for a long time, finally the mother got three dresses",Mother stole a negligee from the shop
Diar wants to have new clothes,Diar asked Mother to buy new clothes,Mom doesn't have the money to buy new clothes,Mother promised to buy Diar clothes when she got the money next month,Mother refuses to buy Diar new clothes for now,Diar will have new clothes next week
"""Teach me to be as strong as mother"" the heavens opened a voice at the dinner table that night.","""You just need to go through every obstacle, son"" replied the mother with a smile.","The sky was silent, as if he was thinking.","""Then how to get past the obstacle if we are not strong yet?"" he asked again.","""By itself, the obstacle makes you strong. How much you fail, how much your strength will increase"" the mother got up from the chair and stroked the head of the sky.","""You have to exercise every day son"" replied the mother."
"Actually, Tomi likes to accompany her sister to watch the cinema",He never had a problem watching movies for children,"According to him, films for children are also interesting",There is only one thing he dislikes about watching children's movies,Some children often cry boredom in the middle of film screenings,Snacks for children are too sweet
Rinan decided to return to his hometown,There was no longer any reason for him to stay in the capital,Rinan has been expelled from his job,Rinan was crying on the bus,Rinan came home by bus,Rinan was picked up by his parents to the capital
Kayla has to go to training,Kayla passed to become a training member,Kayla has to train mentally and physically to get stronger,Kayla must be able to survive until the end of training,Kayla was successful in following the training and became a member of the Paskibra,Kayla did not pass the selection to become a member of the Paskibra
Mother was really mad at Zio,The report card value this time decreased,"In fact, Zio is threatened with not advancing in class",Mother decided to punish Zio,He forbids his children to play games if their grades don't improve,Zio is not allowed to eat for the next semester
Ayva skates,Ayva has good friends,Ayva's friend is named Kity,Kity can't rollerblading,Ayva teaches Kity to roll skates,Kity doesn't want to be friends with Ayva
Siska hasn't exercised for a long time,Now he is overweight,His body is heavy and gets tired easily when he is on the move,Siska decided to return to exercise routine,He started from the lightest exercise he did,He immediately started lifting weights all day
"Hana's eyes, who were staring at the window in front of her, suddenly closed.",Then re-open.,Then closed again.,Hana is very sleepy.,"Hana has only slept 2 hours, and now she has to be in her office for a meeting.",Hana wants to eat sushi.
Ben looked for house keys in every corner of the house,Ben's brother brought the last spare key,Ben decides to duplicate the key to the house when his brother gets home,Ben can't go and has to be home,Ben looks after the house because there is no spare key anymore,Ben plays with his friends at the bowling alley
Aldo is currently undergoing national training,One of the trainings that Aldo is participating in is survival,Aldo must be able to creep and become one with the ground,Aldo can do very well,Aldo was the best participant in the training,Aldo couldn't crawl on the ground
"Arriving at the top, Nara remembered the chocolate-flavored soy milk that someone had given her.","At that time they also climbed the peak, which was certainly a different peak from the one he had come today.",Drinks are also often given when the prisoner is sick.,But now the nara no longer knows how the giver of chocolate flavored soy milk is.,"""I hope he is all right,"" thought nara exhaled.",Nara slipped because the ground was slippery on the top.
